epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate,epoch_seconds
1,0.766243,85.6959,0.156845,95.0588,0.001,77.4
2,0.122165,94.8891,0.341674,92.8235,0.0009938441702975688,35.181
3,0.109528,95.9499,0.096952,96.7059,0.0009755282581475768,32.34
4,0.084701,97.0106,0.096241,96.3529,0.0009455032620941839,32.749
5,0.051451,98.1356,0.090622,96.5882,0.0009045084971874737,33.327
6,0.054767,98.0392,0.085737,97.0588,0.0008535533905932737,33.034
7,0.045823,98.5535,0.111051,96.8235,0.0007938926261462366,32.442
8,0.051619,98.1999,0.120137,97.2941,0.0007269952498697733,33.137
9,0.027004,99.1,0.074596,97.4118,0.0006545084971874737,33.168
10,0.015213,99.3893,0.073283,97.7647,0.0005782172325201155,33.945
11,0.032333,98.9392,0.123327,96.7059,0.0005,33.5
12,0.019514,99.2607,0.117732,97.8824,0.0004217827674798847,33.408
13,0.00995,99.7107,0.088961,98.1176,0.00034549150281252633,33.564
14,0.013226,99.55,0.080877,98.0,0.00027300475013022663,35.69
15,0.005244,99.7428,0.075516,97.6471,0.00020610737385376348,33.346
16,0.005602,99.7107,0.09109,97.8824,0.00014644660940672625,33.341
17,0.002749,99.9036,0.077675,98.0,9.549150281252631e-05,33.351
18,0.002646,99.9357,0.077468,98.0,5.4496737905816096e-05,32.034
19,0.003093,99.8393,0.081348,98.1176,2.447174185242323e-05,33.044
20,0.003499,99.8714,0.079292,97.8824,6.15582970243117e-06,33.698
